lat,lng,traffic,crowd,noise,brightness,construction,weather,profile,score,comfort_label
19.079,72.837,0.217,0.267,0.397,0.528,0.151,0.7,autistic,36.16,Moderate
19.124,72.937,0,0.465,0.41,0.837,0.195,0.7,elderly,38.77,Moderate
19.299,72.784,0,0.113,0.313,0.986,0.32,0.7,general,40.54,Moderate
19.032,72.927,0,0.326,0.398,0.479,0.334,0.7,autistic,36.72,Moderate
19.201,72.903,0.125,0.018,0.693,0.284,0.336,0.7,elderly,35.11,Moderate
18.996,72.902,0,0.192,0.733,0.562,0.918,0.7,general,51.75,Moderate
19.212,72.892,0,0.033,0.978,0.998,0.626,0.7,general,55.6,Moderate
19.289,72.882,0.222,0.535,0.1,0.442,0.403,0.7,general,40.04,Moderate
19.049,72.879,0.178,0.628,0.108,0.292,0.537,0.7,elderly,41.96,Moderate
18.955,72.875,0.192,0.077,0.301,0.161,0.875,0.7,general,38.45,Moderate
18.972,72.845,0.154,0.741,0.378,0.093,0.348,0.7,elderly,40.19,Moderate
19.135,72.762,0.939,0.726,0.174,0.673,0.189,0.7,autistic,53.33,Moderate
19.209,72.846,0,0.48,0.964,0.7,0.866,0.7,autistic,64.85,Moderate
19.157,72.95,0,0.549,1.0,0.527,0.206,0.7,general,49.7,Moderate
19.229,72.811,0,0.89,0.915,0.456,0.034,0.7,autistic,53.18,Moderate
18.923,72.841,0.167,0.963,0.733,0.267,0.234,0.7,elderly,47.94,Moderate
18.937,72.902,0,0.774,0.867,0.742,0.093,0.7,autistic,56.17,Moderate
18.966,72.817,0.25,0.398,0.4,0.091,0.801,0.7,general,43.99,Moderate
19.09,72.874,0,0.114,0.581,0.981,0.417,0.7,general,46.55,Moderate
19.271,72.814,0,0.128,0.25,0.689,0.522,0.7,elderly,37.17,Moderate
19.236,72.758,0.594,0.786,0.068,0.008,0.267,0.7,autistic,36.86,Moderate
19.142,72.901,0,0.064,0.288,0.682,0.572,0.7,elderly,37.74,Moderate
19.193,72.778,0,0.699,0.414,0.166,0.501,0.7,general,41.34,Moderate
18.949,72.892,0,0.215,0.304,0.422,0.102,0.7,elderly,26.77,Comfortable
19.004,72.76,0.537,0.407,0.657,0.736,0.278,0.7,autistic,54.62,Moderate
18.951,72.907,0,0.803,0.888,0.443,0.42,0.7,general,54.23,Moderate
19.132,72.916,0,0.743,0.201,0.593,0.304,0.7,general,42.35,Moderate
18.95,72.881,0,0.196,0.325,0.209,0.111,0.7,autistic,23.83,Comfortable
18.907,72.784,0.348,0.383,0.738,0.112,0.56,0.7,general,47.35,Moderate
19.295,72.76,0.742,0.928,0.749,0.622,0.619,0.7,autistic,73.25,Stressful
19.287,72.936,0.176,0.912,0.83,0.04,0.756,0.7,general,56.92,Moderate
19.026,72.803,0,0.451,0.061,0.871,0.497,0.7,autistic,42.09,Moderate
19.248,72.949,0,0.049,0.994,0.039,0.22,0.7,general,33.39,Comfortable
19.023,72.848,0.263,0.817,0.258,0.725,0.238,0.7,general,50.03,Moderate
19.064,72.871,0,0.734,0.947,0.434,0.609,0.7,elderly,54.23,Moderate
19.282,72.929,0.152,0.385,0.362,0.697,0.124,0.7,general,40.33,Moderate
19.01,72.909,0,0.089,0.332,0.365,0.555,0.7,general,34.02,Comfortable
18.976,72.821,0,0.216,0.652,0.13,0.501,0.7,autistic,36.33,Moderate
19.142,72.833,0,0.158,0.965,0.824,0.67,0.7,autistic,57.43,Moderate
18.95,72.944,0,0.385,0.307,0.382,0.578,0.7,general,39.2,Moderate
19.267,72.845,0,0.121,0.13,0.922,0.723,0.7,general,43.27,Moderate
19.146,72.796,0,0.77,0.649,0.297,0.166,0.7,general,43.02,Moderate
18.993,72.826,0.059,0.634,0.625,0.394,0.77,0.7,elderly,52.77,Moderate
19.092,72.79,0.332,0.155,0.959,0.196,0.007,0.7,elderly,36.64,Moderate
19.171,72.854,0.227,0.986,0.927,0.986,0.887,0.7,general,78.56,Stressful
19.12,72.941,0,0.762,0.277,0.274,0.294,0.7,elderly,36.96,Moderate
19.212,72.842,0,0.88,0.197,0.72,0.888,0.7,elderly,55.96,Moderate
